is_paid,num_subscribers,avg_rating,avg_rating_recent,rating,num_reviews,num_published_lectures,discount_price__amount,discount_price__currency
True,295509,4.66019,4.67874,4.67874,78006,84,455.0,Dollar
True,209070,4.58956,4.60015,4.60015,54581,78,455.0,Dollar
True,155282,4.59491,4.59326,4.59326,52653,292,455.0,Euro
True,245860,4.54407,4.53772,4.53772,46447,338,455.0,Dollar
False,374836,4.4708,4.47173,4.47173,41630,83,455.0,Pound
False,124180,4.56228,4.57676,4.57676,38093,275,455.0,Pound
True,96207,4.32383,4.29118,4.29118,30470,23,455.0,Euro
False,127680,4.54034,4.53346,4.53346,28665,275,455.0,Euro
False,112572,4.50386,4.5008,4.5008,27408,144,455.0,Euro
True,115269,4.50067,4.49575,4.49575,23906,413,455.0,Dollar
False,86715,4.61951,4.63301,4.63301,23580,117,455.0,Pound
False,82015,4.49968,4.49034,4.49034,23326,67,455.0,Pound
True,68148,4.5687,4.59302,4.59302,22595,43,455.0,Dollar
True,76812,4.53878,4.54203,4.54203,21537,41,455.0,Dollar
False,78968,4.57035,4.57067,4.57067,21436,286,455.0,Pound
False,182002,4.49571,4.49507,4.49507,21421,225,455.0,Dollar
True,114945,4.51251,4.52998,4.52998,21394,101,455.0,Euro
False,88468,4.49804,4.48929,4.48929,19970,160,455.0,Pound
True,72442,4.59922,4.59604,4.59604,19328,103,455.0,Dollar
False,239309,4.47381,4.54005,4.54005,18322,47,455.0,Euro
False,83072,4.51891,4.52806,4.52806,17617,111,455.0,Euro
True,67329,4.56473,4.5554,4.5554,17016,57,455.0,Pound
True,140676,4.4758,4.46916,4.46916,17013,61,500.0,Pound
False,50037,4.42501,4.41557,4.41557,15956,23,455.0,Euro
True,48055,4.43303,4.42199,4.42199,14255,44,455.0,Dollar
True,74011,4.62899,4.63196,4.63196,14006,88,455.0,Euro
False,102727,4.55248,4.56591,4.56591,12478,78,455.0,Dollar
False,49877,4.40093,4.40429,4.40429,11977,88,455.0,Euro
True,59141,4.34305,4.33968,4.33968,11660,39,455.0,Dollar
False,38698,4.57554,4.58325,4.58325,11529,31,455.0,Euro
True,85042,4.42296,4.42503,4.42503,11007,49,455.0,Pound
True,63084,4.63452,4.64145,4.64145,10979,74,455.0,Pound
False,39873,4.46625,4.49998,4.49998,10725,124,455.0,Dollar
False,33319,4.38382,4.39496,4.39496,10470,29,455.0,Euro
False,158654,4.46745,4.44446,4.44446,10288,206,540.0,Pound
True,29061,4.56978,4.56584,4.56584,10102,284,455.0,Euro
True,28937,4.36402,4.39681,4.39681,10059,23,455.0,Pound
True,72406,4.4679,4.45238,4.45238,9631,44,455.0,Dollar
False,39816,4.41,4.41373,4.41373,9195,86,455.0,Pound
True,62384,4.35213,4.33177,4.33177,9196,600,546.0,Euro
False,79955,4.50237,4.50644,4.50644,9107,16,533.0,Dollar
True,47394,4.58716,4.59197,4.59197,9081,97,455.0,Pound
False,32818,4.41307,4.46243,4.46243,8925,15,455.0,Euro
False,16511,4.51703,4.55482,4.55482,8915,19,455.0,Dollar
False,64080,4.45989,4.43577,4.43577,8591,152,481.0,Dollar
False,21305,4.38921,4.38864,4.38864,8122,38,455.0,Dollar
False,44484,4.53584,4.53498,4.53498,7815,186,455.0,Pound
True,39537,4.44398,4.43587,4.43587,7693,305,455.0,Euro
True,29095,4.42667,4.42281,4.42281,7641,87,488.0,Euro
